EmployeeID,SSYear,HiringDate,DismissalDate
D1CAF2D7-2F5F-4141-9C50-BBECC3EA43B8,0.16,2015-08-01,2015-10-01
5FCAFC51-3556-4336-8411-BBEE51415F0D,1.50,2018-01-01,NULL
1B9C0BC9-A9AB-41C9-BDBA-BBF1307B1711,11.42,2005-07-01,2017-06-01
186B35C0-3F22-45C7-9CF1-BBF84B6A1E7F,5.08,2014-06-01,NULL
7AB5CC24-CF15-4ACC-8234-BC06CCD71C17,8.21,2013-09-01,2018-05-01
DC20C8C2-0153-43B2-9D03-BC0FACF88F62,5.42,2014-02-01,NULL
34B9A8F4-E934-49D5-B543-BC1429BFC4B6,0.83,2018-09-01,NULL
5094065F-258A-4185-A779-BC153A3C5060,1.50,2018-01-01,NULL
91A66DA7-5266-4B4C-A1FA-BC2162DBFBB8,1.50,2018-01-01,NULL
85C4B47F-6ECA-4D0A-8D3D-BC2290F102D9,0.22,2019-03-01,NULL
771F4A4C-C0BC-4335-9F10-BC251BCB8341,1.42,2018-02-01,NULL
012ADF75-5DA7-43FF-83AE-BC2CD70B82E0,8.75,2010-10-01,NULL
2C477003-8F55-4E6D-B519-BC3CFC218E26,2.95,2013-06-01,2016-06-01
670D9E54-6D77-4696-9882-BC3D010CC19D,1.17,2018-05-01,NULL
0520DBF0-3995-4F2F-94A1-BC3D425BD84D,1.10,2017-07-01,2017-09-01
A643992D-D047-4C9F-B5D5-BC48BA35681C,1.50,2018-01-01,NULL
C9FA1EF5-A5AB-4DC1-9BBE-BC49374346D6,8.42,2011-02-01,NULL
61C5A9ED-318A-4818-B4C7-BC497BBCCE0E,13.17,2006-05-01,NULL
0C507C35-C91B-4BAF-B3C6-BC4D1C14B1F4,3.17,2016-05-01,NULL
8F1F2136-3DFD-4A33-A290-BC5A9E637D0B,7.50,2012-01-01,NULL
FDECD7B3-6E07-4990-99C5-BC5F737821C9,0.50,2019-01-01,NULL
DEA744A8-B7B9-4FFF-93EB-BC63450D500A,7.08,2016-12-01,NULL
2AF4B76D-1ADB-4973-BA58-BC66BAB61DC8,1.33,2018-03-01,NULL
80F799DB-6874-47D2-AA73-BC66FAA1BEBD,1.58,2017-12-01,NULL
DB76832A-BE09-4478-9E39-BC6D89E6E963,0.50,2017-11-01,2018-04-01
5324695C-86CA-4A27-8DF5-BC71EEC4ECA3,3.92,2015-08-01,NULL
08A8F183-3B54-4C11-9AAD-BC77617160A3,0.00,2019-06-01,NULL
05375C72-2D02-4F90-80B4-BC7D9F706E2A,1.67,2017-11-01,NULL
60F14C3D-5A9A-427F-BAD2-BC7EEA4A6A20,4.58,2016-05-01,2019-05-01
2BECBBCC-59F4-4E32-AD62-BC7FBBE9AED4,1.50,2018-01-01,NULL
BAEB12F2-528A-4963-8B44-BC8335AACB36,1.25,2018-04-01,NULL
48CBF885-74B7-4ED2-921E-BC86C120B096,1.15,2013-11-01,2015-01-01
8C7CFAC0-F9D0-42C9-851D-BC88F54E9D04,3.25,2016-03-01,2019-05-01
F5AF7653-C88A-423D-9BE3-BC8904185DCF,1.67,2017-11-01,NULL
841ED2A5-043D-400F-B0B7-BC90CBCCE2DF,12.25,2007-04-01,NULL
EA66133C-56FF-423F-B436-BC9B0EEFC301,2.00,2017-07-01,NULL
5B85FF12-4E83-4F07-AA12-BCA190552ABB,0.08,2014-03-01,2014-03-01
746EBBAE-C11D-41DB-AA83-BCA6B69BEAB0,1.67,2017-11-01,NULL
40E97D4E-B41B-4959-AB89-BCAED9ED1137,1.42,2018-02-01,NULL
4AA6ACB4-D027-4588-8C26-BCB53ECBD51E,3.17,2016-05-01,NULL
476BF2C9-D551-4642-99A0-BCBDCD5E5AD5,4.75,2017-06-01,NULL
CEFC9383-083F-4E27-B100-BCBF2BE491E1,0.92,2018-08-01,NULL
BEFA9A9C-49E0-4D46-8266-BCC0557D033A,2.51,2014-07-01,2017-02-01
9D501BFC-FCE3-4BB4-9F9A-BCC437492364,9.17,2010-05-01,NULL
55AC20BD-17A7-45BF-819B-BCC482B176AC,1.50,2018-01-01,NULL
386DD560-00D8-490D-89E9-BCC7C024C518,1.33,2018-03-01,NULL
FDAF0674-718F-4EB9-9EC6-BCCB231B6C10,0.59,2014-01-01,2014-08-01
E1231DB1-15BC-41E4-BF7F-BCCF9F3D9EB8,0.83,2018-09-01,NULL
82AB87B7-0101-419F-9B8B-BCD6A0A17172,11.17,2008-05-01,NULL
5CBA5A9E-185E-4989-B106-BCD7293DF790,3.24,2014-06-01,2017-10-01
D52AEF89-3433-405D-949C-BCD7E414B333,0.59,2016-11-01,2017-06-01
5174E550-AC46-4DAD-A701-BCDBE928C436,0.40,2014-02-01,2014-07-01
5E05A4F0-B1F1-4AF2-9044-BCDC876F107D,17.57,2001-10-01,NULL
17EFE089-358B-4B57-9BDF-BCE4D276D974,9.42,2010-02-01,NULL
A9F66B88-3946-4FE0-8910-BCE7F93F7126,1.33,2018-03-01,NULL
5B2ACE9B-3328-4A18-BD8D-BCE94B129AF9,1.01,2016-04-01,2017-04-01
64783FE4-6C0B-4D18-92B9-BCED63E5CD71,10.75,2008-10-01,NULL
DEE62F1D-0818-4129-9549-BCF055D135E8,13.50,2006-01-01,NULL
